 1) residual u*:  4.076738946423575E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         279
 4) rho:  0.987688339911341     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
  158    &     0.469E-12    &     0.641E-13    &     0.966E-02    &     0.578E-02    &     0.242E-03    &     0.194E-01    &     0.976E+00
  159    &     0.669E-12    &     0.914E-13    &     0.943E-02    &     0.564E-02    &     0.236E-03    &     0.190E-01    &     0.976E+00
  160    &     0.463E-12    &     0.633E-13    &     0.920E-02    &     0.550E-02    &     0.231E-03    &     0.185E-01    &     0.976E+00
  161    &     0.396E-12    &     0.542E-13    &     0.897E-02    &     0.537E-02    &     0.225E-03    &     0.181E-01    &     0.976E+00
  162    &     0.451E-12    &     0.617E-13    &     0.875E-02    &     0.523E-02    &     0.220E-03    &     0.176E-01    &     0.976E+00
  163    &     0.608E-12    &     0.831E-13    &     0.854E-02    &     0.511E-02    &     0.214E-03    &     0.172E-01    &     0.976E+00
  164    &     0.392E-12    &     0.535E-13    &     0.833E-02    &     0.498E-02    &     0.209E-03    &     0.168E-01    &     0.976E+00
  165    &     0.444E-12    &     0.607E-13    &     0.813E-02    &     0.486E-02    &     0.204E-03    &     0.164E-01    &     0.976E+00
  166    &     0.408E-12    &     0.557E-13    &     0.793E-02    &     0.474E-02    &     0.199E-03    &     0.160E-01    &     0.976E+00
  167    &     0.500E-12    &     0.684E-13    &     0.773E-02    &     0.463E-02    &     0.194E-03    &     0.156E-01    &     0.976E+00
  168    &     0.377E-12    &     0.516E-13    &     0.754E-02    &     0.451E-02    &     0.189E-03    &     0.152E-01    &     0.976E+00
  169    &     0.444E-12    &     0.607E-13    &     0.736E-02    &     0.440E-02    &     0.185E-03    &     0.148E-01    &     0.976E+00
  170    &     0.437E-12    &     0.597E-13    &     0.718E-02    &     0.429E-02    &     0.180E-03    &     0.144E-01    &     0.976E+00
  171    &     0.391E-12    &     0.534E-13    &     0.700E-02    &     0.419E-02    &     0.176E-03    &     0.141E-01    &     0.976E+00
  172    &     0.576E-12    &     0.787E-13    &     0.683E-02    &     0.409E-02    &     0.171E-03    &     0.137E-01    &     0.976E+00
  173    &     0.399E-12    &     0.545E-13    &     0.666E-02    &     0.399E-02    &     0.167E-03    &     0.134E-01    &     0.976E+00
  174    &     0.469E-12    &     0.641E-13    &     0.650E-02    &     0.389E-02    &     0.163E-03    &     0.131E-01    &     0.976E+00
  175    &     0.515E-12    &     0.704E-13    &     0.634E-02    &     0.379E-02    &     0.159E-03    &     0.128E-01    &     0.976E+00
  176    &     0.498E-12    &     0.681E-13    &     0.619E-02    &     0.370E-02    &     0.155E-03    &     0.125E-01    &     0.976E+00
  177    &     0.471E-12    &     0.644E-13    &     0.604E-02    &     0.361E-02    &     0.151E-03    &     0.121E-01    &     0.976E+00
  178    &     0.676E-12    &     0.924E-13    &     0.589E-02    &     0.352E-02    &     0.148E-03    &     0.118E-01    &     0.976E+00
  179    &     0.396E-12    &     0.542E-13    &     0.574E-02    &     0.344E-02    &     0.144E-03    &     0.116E-01    &     0.976E+00
  180    &     0.529E-12    &     0.724E-13    &     0.560E-02    &     0.335E-02    &     0.141E-03    &     0.113E-01    &     0.976E+00
  181    &     0.341E-12    &     0.466E-13    &     0.547E-02    &     0.327E-02    &     0.137E-03    &     0.110E-01    &     0.976E+00
  182    &     0.556E-12    &     0.760E-13    &     0.533E-02    &     0.319E-02    &     0.134E-03    &     0.107E-01    &     0.976E+00
  183    &     0.697E-12    &     0.953E-13    &     0.520E-02    &     0.311E-02    &     0.130E-03    &     0.105E-01    &     0.976E+00
  184    &     0.481E-12    &     0.658E-13    &     0.507E-02    &     0.304E-02    &     0.127E-03    &     0.102E-01    &     0.976E+00
  185    &     0.576E-12    &     0.788E-13    &     0.495E-02    &     0.296E-02    &     0.124E-03    &     0.996E-02    &     0.976E+00
  186    &     0.478E-12    &     0.653E-13    &     0.483E-02    &     0.289E-02    &     0.121E-03    &     0.972E-02    &     0.976E+00
  187    &     0.792E-12    &     0.108E-12    &     0.471E-02    &     0.282E-02    &     0.118E-03    &     0.948E-02    &     0.976E+00
  188    &     0.498E-12    &     0.681E-13    &     0.460E-02    &     0.275E-02    &     0.115E-03    &     0.925E-02    &     0.976E+00
  189    &     0.536E-12    &     0.733E-13    &     0.448E-02    &     0.268E-02    &     0.112E-03    &     0.902E-02    &     0.976E+00
  190    &     0.427E-12    &     0.584E-13    &     0.437E-02    &     0.262E-02    &     0.110E-03    &     0.880E-02    &     0.976E+00
  191    &     0.439E-12    &     0.600E-13    &     0.427E-02    &     0.255E-02    &     0.107E-03    &     0.859E-02    &     0.976E+00
  192    &     0.707E-12    &     0.966E-13    &     0.416E-02    &     0.249E-02    &     0.104E-03    &     0.838E-02    &     0.976E+00
  193    &     0.676E-12    &     0.924E-13    &     0.406E-02    &     0.243E-02    &     0.102E-03    &     0.817E-02    &     0.976E+00
  194    &     0.437E-12    &     0.597E-13    &     0.396E-02    &     0.237E-02    &     0.994E-04    &     0.797E-02    &     0.976E+00
  195    &     0.491E-12    &     0.671E-13    &     0.386E-02    &     0.231E-02    &     0.969E-04    &     0.778E-02    &     0.976E+00
  196    &     0.483E-12    &     0.661E-13    &     0.377E-02    &     0.225E-02    &     0.946E-04    &     0.759E-02    &     0.976E+00
  197    &     0.533E-12    &     0.729E-13    &     0.368E-02    &     0.220E-02    &     0.922E-04    &     0.740E-02    &     0.976E+00
  198    &     0.576E-12    &     0.788E-13    &     0.359E-02    &     0.215E-02    &     0.900E-04    &     0.722E-02    &     0.976E+00
  199    &     0.478E-12    &     0.653E-13    &     0.350E-02    &     0.209E-02    &     0.878E-04    &     0.704E-02    &     0.976E+00
  200    &     0.378E-12    &     0.517E-13    &     0.341E-02    &     0.204E-02    &     0.856E-04    &     0.687E-02    &     0.976E+00
  201    &     0.593E-12    &     0.811E-13    &     0.333E-02    &     0.199E-02    &     0.835E-04    &     0.670E-02    &     0.976E+00
  202    &     0.576E-12    &     0.788E-13    &     0.325E-02    &     0.194E-02    &     0.815E-04    &     0.654E-02    &     0.976E+00
